model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1940-01-01,-0.0013107928041507285,0.003075777592847827,0.006193733123597177,0.04,-0.11937618324420361,0.0012387466247194352,-0.0037387361886008215,0.0011171505802993645
Carhart,1940-02-01,-0.0010043864068228357,0.0031571692605701033,0.0060074762206761495,0.04,-0.04607143664953603,0.00120149524413523,-0.0033593170853278864,0.0013505442716822149
Carhart,1940-03-01,-0.0010411796558007118,0.003123767629864242,0.0057721392105427064,0.04,-0.032380433208541726,0.0011544278421085413,-0.0033038582263334526,0.0012214989147320292
Carhart,1940-04-01,-0.0011111297793586765,0.0031602100567707236,0.005741776398154662,0.04,-0.04070478857592029,0.0011483552796309323,-0.003361906127435304,0.0011396465687179508
Carhart,1940-05-01,-0.000689810739391962,0.003128482662028261,0.005402481557442535,0.04,0.0647247697234134,0.0010804963114885069,-0.0028075835099094356,0.0014279620311255115
Carhart,1940-06-01,-0.0009545466311084076,0.0029254406662230894,0.00517139011480503,0.04,-0.011519824712281577,0.001034278022961006,-0.002981731556111979,0.001072638293895164
Carhart,1940-07-01,-0.0009750807506592578,0.003026008144007572,0.005515803788166507,0.08,-0.013367760513419093,0.0011031607576333015,-0.0031372758356205286,0.0011871143343020133
Carhart,1940-08-01,-0.0006073608976436141,0.002886042778838551,0.005303214942625701,0.04,0.07390958005952777,0.0010606429885251403,-0.0026862211551528887,0.0014714993598656607
Carhart,1940-09-01,-0.0008031087791160492,0.0029095484181021823,0.005775234754745295,0.04,0.03268587373286129,0.001155046950949059,-0.003067000802976205,0.0014607832447441063
Carhart,1940-10-01,-0.0006855818647654681,0.002722837818227108,0.005349026142819124,0.04,0.07530698100002174,0.0010698052285638248,-0.002782400112750565,0.0014112363832196285
Carhart,1940-11-01,-0.0006865865551278529,0.0028013467431053174,0.005301648092856965,0.04,0.08941029349425016,0.001060329618571393,-0.002764832607527783,0.0013916594972720772
Carhart,1940-12-01,-0.0009664502842353802,0.0026512564268206134,0.0050477026283145005,0.04,-0.0011207437649298413,0.0010095405256629,-0.0029451497145346643,0.0010122491460639038
Carhart,1941-01-01,-0.001002288699719449,0.003006487947193471,0.0059824735162544345,0.04,0.017721490319164382,0.001196494703250887,-0.0033474183180911875,0.0013428409186522893
Carhart,1941-02-01,-0.0010768500084580954,0.0031222852706933057,0.005746410701315426,0.04,-0.010054886586600538,0.0011492821402630852,-0.003329443003373742,0.0011757429864575513
Carhart,1941-03-01,-0.0012557042687351483,0.003197892107248723,0.005809363041929778,0.04,-0.05495443832867956,0.0011618726083859555,-0.0035329745811716207,0.0010215660437013243
Carhart,1941-04-01,-0.0011031347784366435,0.003022974529476694,0.005551688166392312,0.04,-0.016688213231734486,0.0011103376332784625,-0.0032793965396624297,0.001073126982789143
Carhart,1941-05-01,-0.0007796629151439966,0.0028757943991198544,0.005144304908674709,0.04,0.07394144324368979,0.0010288609817349418,-0.0027962304393444825,0.0012369046090564893
Carhart,1941-06-01,-0.0009839892991280739,0.0029070838024007435,0.005578433032102606,0.04,0.04597318307935378,0.0011156866064205213,-0.003170735047712296,0.001202756449456148
Carhart,1941-07-01,-0.0008654098368810069,0.0025163404517624904,0.004813326289010483,0.04,0.04467680175479865,0.0009626652578020965,-0.002752233742173116,0.0010214140684111023
Carhart,1941-08-01,-0.0008049789641761333,0.0022906165123085464,0.004458905104183803,0.04,0.03067588163241105,0.0008917810208367606,-0.0025528697650161842,0.0009429118366639175
Carhart,1941-09-01,-0.0008680352453227563,0.0024503075691756204,0.004686427879634895,0.04,0.01430770920883008,0.000937285575926979,-0.002705114974139635,0.0009690444834941224
Carhart,1941-10-01,-0.0008209522176936481,0.002764557958132198,0.004830737793618223,0.04,0.04784663541214981,0.0009661475587236446,-0.002714601432791991,0.0010726969974046952
Carhart,1941-11-01,-0.000723265475417766,0.0028917839568518362,0.005003376002918052,0.08,0.08345976161824258,0.0010006752005836104,-0.0026845888685616427,0.0012380579177261105
Carhart,1941-12-01,-0.0003440283986303698,0.002901156778239867,0.005180716017275771,0.08,0.17458050704184067,0.0010361432034551542,-0.002374869077402472,0.0016868122801417325
Carhart,1942-01-01,-0.00030182223681250687,0.0028034539546306233,0.004919187579344211,0.08,0.19044269022458246,0.0009838375158688422,-0.0022301437679154374,0.0016264992942904238
Carhart,1942-02-01,-0.0004183189900068847,0.0028754916985506375,0.005819462390830277,0.08,0.16336152301796156,0.0011638924781660555,-0.0026995482472123534,0.0018629102671985842
Carhart,1942-03-01,-0.00014932224034337077,0.0027946051993495854,0.005252010532079503,0.08,0.22292675817027416,0.0010504021064159006,-0.0022081103689185356,0.0019094658882317943
Carhart,1942-04-01,-0.00023903269038209795,0.002665355737370781,0.004980716790968413,0.12,0.18936562903160592,0.0009961433581936825,-0.0021914736724417154,0.0017134082916775196
Carhart,1942-05-01,-0.00048602139576010573,0.002454445792381047,0.004654016525323332,0.12,0.09894639326747956,0.0009308033050646665,-0.002310395873686852,0.0013383530821666405
Carhart,1942-06-01,-0.0005496560018251162,0.0023957543170452862,0.004736180784602106,0.12,0.07552802996567025,0.0009472361569204212,-0.0024062388693891416,0.0013069268657389093
Carhart,1942-07-01,-0.000443325345799757,0.002511499508487129,0.004752380244064629,0.12,0.11162614424802093,0.0009504760488129258,-0.0023062584014730916,0.0014196077098735777
Carhart,1942-08-01,-0.00036106385773842766,0.0025011741543506426,0.00454833826276063,0.12,0.12461572652233358,0.000909667652552126,-0.002144012456740595,0.0014218847412637394
Carhart,1942-09-01,-0.00036770673712467226,0.0023205948423804753,0.004195441535647903,0.12,0.1117077114654999,0.0008390883071295807,-0.0020123198190986503,0.0012769063448493058
Carhart,1942-10-01,-0.0004545240195956587,0.0025265712697184434,0.004379538222324438,0.08,0.12090427646200123,0.0008759076444648876,-0.002171303002746838,0.001262254963555521
Carhart,1942-11-01,-0.0004198735863509992,0.00237077479453854,0.004192353208217458,0.08,0.11803530006389132,0.0008384706416434916,-0.0020632760439722427,0.0012235288712702445
Carhart,1942-12-01,-0.0003514080911868708,0.0024840737813272805,0.004248547107083645,0.08,0.15530295422043675,0.000849709421416729,-0.00201683855716366,0.001314022374789918
Carhart,1943-01-01,-0.000603159478632613,0.002398068232981148,0.004132336746551912,0.08,0.054441264733369694,0.0008264673493103824,-0.002223035483280962,0.0010167165260157364
Carhart,1943-02-01,-0.0006522512417357229,0.0024489790179865398,0.004013790540728965,0.08,0.028105619603539172,0.000802758108145793,-0.002225657133701477,0.0009211546502300314
Carhart,1943-03-01,-0.0008398457246490205,0.0026759936246189943,0.0045687028297441085,0.08,-0.0071853029822935045,0.0009137405659488217,-0.002630777233908711,0.0009510857846106699
Carhart,1943-04-01,-0.0008090481631103636,0.002811372506343099,0.004649710730104944,0.08,-0.00701050653431144,0.0009299421460209888,-0.002631734769311502,0.0010136384430907744
Carhart,1943-05-01,-0.0008133120974882169,0.0028895375314663043,0.0047119201750309425,0.08,-0.008777143005181488,0.0009423840350061885,-0.002660384806100346,0.0010337606111239126
Carhart,1943-06-01,-0.0009295384161485789,0.0027548674019202495,0.004639377694923452,0.08,-0.05303655310243287,0.0009278755389846904,-0.002748174472558572,0.0008890976402614144
Carhart,1943-07-01,-0.0007404504015185942,0.002770122723821325,0.004234694879279393,0.08,-0.03269888468800876,0.0008469389758558786,-0.002400450794196116,0.0009195499911589278
Carhart,1943-08-01,-0.0008737882624604529,0.002941774435839176,0.004341207963512674,0.08,-0.05218740968516196,0.0008682415927025348,-0.002575541784157421,0.0008279652592365153
Carhart,1943-09-01,-0.0008873503199591159,0.002965438365925088,0.004449104770701764,0.04,-0.0441398915639897,0.0008898209541403528,-0.0026313993900742077,0.0008566987501559757
Carhart,1943-10-01,-0.0008379444400660017,0.0027589473782402684,0.003927112624079212,0.04,-0.06608669168378434,0.0007854225248158424,-0.002377372588705053,0.0007014837085730494
Carhart,1943-11-01,-0.0010113429118703563,0.0027648412693603045,0.003924976708772962,0.08,-0.11831620003117298,0.0007849953417545924,-0.0025499337817093577,0.000527247957968645
